	ID	AV_GC_PCT
1	5_8S_rRNA	0.5000174
2	5S_rRNA	0.486642765
3	7SK	0.442054286
4	A1BG	0.6237332
5	A1BG-AS1	0.598028143
6	A1CF	0.4118402
7	A2M	0.459595462
8	A2M-AS1	0.445712
9	A2ML1	0.489417889
10	A2ML1-AS1	0.380531
11	A2ML1-AS2	0.497409
12	A2MP1	0.42545
13	A3GALT2	0.666667
14	A4GALT	0.6127748
15	A4GNT	0.466403
16	AA06	0.468354
17	AAAS	0.5555399
18	AACS	0.538423667
19	AACSP1	0.5443565
20	AADAC	0.4003755
21	AADACL2	0.3651885
22	AADACL2-AS1	0.524688
23	AADACL3	0.4921165
24	AADACL4	0.489524
25	AADACP1	0.3761165
26	AADAT	0.4296405
27	AAED1	0.4447545
28	AAGAB	0.454547
29	AAK1	0.505070692
30	AAMDC	0.498466583
31	AAMP	0.5906616
32	AANAT	0.62883975
33	AAR2	0.547712
34	AARD	0.519667
35	AARS	0.525216286
36	AARS2	0.5877315
37	AARSD1	0.522925105
38	AARSP1	0.498896
39	AASDH	0.3926494
40	AASDHPPT	0.3800508
41	AASS	0.425581143
42	AATBC	0.568813
43	AATF	0.519183
44	AATK	0.6673552
45	AATK-AS1	0.641887
46	AB015752.1	0.455017
47	ABALON	0.565423
48	ABAT	0.535070188
49	ABBA01000935.2	0.423628
50	ABBA01006766.1	0.414966
51	ABBA01006766.2	0.508876
52	ABBA01031660.1	0.638889
53	ABBA01031661.1	0.652035
54	ABBA01031663.1	0.643038
55	ABBA01031674.1	0.634615
56	ABBA01040607.1	0.570093
57	ABCA1	0.4918275
58	ABCA10	0.383869417
59	ABCA11P	0.43275275
60	ABCA12	0.424462667
61	ABCA13	0.44818675
62	ABCA17P	0.472916429
63	ABCA2	0.64254475
64	ABCA3	0.599527833
65	ABCA4	0.512031429
66	ABCA5	0.384137
67	ABCA6	0.384530143
68	ABCA7	0.640612
69	ABCA8	0.422950933
70	ABCA9	0.398403875
71	ABCA9-AS1	0.404293
72	ABCB1	0.440049091
73	ABCB10	0.421794
74	ABCB10P1	0.563044
75	ABCB10P3	0.561865
76	ABCB10P4	0.561813
77	ABCB11	0.441404
78	ABCB4	0.4358619
79	ABCB5	0.413818
80	ABCB6	0.551751154
81	ABCB7	0.4399386
82	ABCB8	0.607216227
83	ABCB9	0.593628619
84	ABCC1	0.558414375
85	ABCC10	0.58485
86	ABCC11	0.509142
87	ABCC12	0.50104775
88	ABCC13	0.405337333
89	ABCC2	0.447680333
90	ABCC3	0.565817611
91	ABCC4	0.429538429
92	ABCC5	0.496606231
93	ABCC5-AS1	0.45629
94	ABCC6	0.568035222
95	ABCC6P1	0.5393715
96	ABCC6P2	0.525993
97	ABCC8	0.58751881
98	ABCC9	0.401774
99	ABCD1	0.624769
100	ABCD1P2	0.634603
101	ABCD1P3	0.629752
102	ABCD1P4	0.625828
103	ABCD1P5	0.640584
104	ABCD2	0.343059
105	ABCD3	0.38851
106	ABCD4	0.558753179
107	ABCE1	0.3957926
108	ABCF1	0.527479571
109	ABCF2	0.538608167
110	ABCF2P1	0.49759
111	ABCF2P2	0.510135
112	ABCF3	0.560116222
113	ABCG1	0.552649909
114	ABCG2	0.42964875
115	ABCG4	0.578833833
116	ABCG5	0.523133
117	ABCG8	0.556848
118	ABHD1	0.559311625
119	ABHD10	0.4237836
120	ABHD11	0.609631286
121	ABHD11-AS1	0.638863
122	ABHD12	0.554241
123	ABHD12B	0.447841556
124	ABHD13	0.340952
125	ABHD14A	0.611359833
126	ABHD14A-ACY1	0.599841069
127	ABHD14B	0.604316125
128	ABHD15	0.566258
129	ABHD15-AS1	0.42246
130	ABHD16A	0.573526875
131	ABHD16B	0.69886
132	ABHD17A	0.669872833
133	ABHD17AP1	0.66881
134	ABHD17AP3	0.657872
135	ABHD17AP4	0.667767
136	ABHD17AP5	0.678223
137	ABHD17AP6	0.681992
138	ABHD17AP7	0.655462
139	ABHD17AP8	0.646341
140	ABHD17AP9	0.645985
141	ABHD17B	0.428497
142	ABHD17C	0.4826434
143	ABHD18	0.427983167
144	ABHD2	0.5054064
145	ABHD3	0.4271951
146	ABHD4	0.5367339
147	ABHD5	0.480170429
148	ABHD6	0.515485714
149	ABHD8	0.677118
150	ABI1	0.382716769
151	ABI1P1	0.4125
152	ABI2	0.483646083
153	ABI3	0.62374
154	ABI3BP	0.458521759
155	ABL1	0.534939
156	ABL2	0.492396
157	ABLIM1	0.480957286
158	ABLIM2	0.588568067
159	ABLIM3	0.5365175
160	ABO	0.575821667
161	ABR	0.594031778
162	ABRA	0.416334
163	ABRACL	0.4187935
164	ABRAXAS1	0.409227444
165	ABRAXAS2	0.405414
166	ABT1	0.464564
167	ABT1P1	0.562728
168	ABTB1	0.624560933
169	ABTB2	0.6303025
170	AC000032.1	0.584521
171	AC000035.1	0.749271
172	AC000036.1	0.464532
173	AC000041.1	0.474286
174	AC000041.2	0.576159
175	AC000058.1	0.41791
176	AC000061.1	0.430851
177	AC000067.1	0.58885
178	AC000068.1	0.498808
179	AC000068.2	0.528261
180	AC000068.3	0.489461
181	AC000077.1	0.439664
182	AC000078.1	0.576246
183	AC000081.1	0.488215
184	AC000089.1	0.520599
185	AC000095.1	0.592677
186	AC000095.2	0.4752355
187	AC000099.1	0.3581085
188	AC000111.1	0.375566
189	AC000111.2	0.414286
190	AC000111.3	0.388601
191	AC000120.1	0.400881
192	AC000123.1	0.364341
193	AC000123.2	0.394794
194	AC000123.3	0.377085
195	AC000124.1	0.404389
196	AC000362.1	0.505882
197	AC000367.1	0.377123
198	AC000372.1	0.410217
199	AC000374.1	0.404585
200	AC000403.1	0.405579
201	AC001226.1	0.437848
202	AC001226.2	0.3936796
203	AC002044.1	0.28481
204	AC002044.2	0.519588
205	AC002044.3	0.415896
206	AC002056.1	0.472368
207	AC002056.2	0.566901
208	AC002059.1	0.469602
209	AC002064.1	0.431105
210	AC002064.2	0.366782
211	AC002064.3	0.433526
212	AC002066.1	0.448111
213	AC002069.1	0.433995
214	AC002069.2	0.364666
215	AC002070.1	0.508096667
216	AC002075.1	0.463018
217	AC002075.2	0.47619
218	AC002076.1	0.45351
219	AC002076.2	0.434426
220	AC002090.1	0.418616
221	AC002091.1	0.454219
222	AC002091.2	0.542289
223	AC002094.1	0.62
224	AC002094.2	0.428189
225	AC002094.3	0.592244
226	AC002094.4	0.456026
227	AC002094.5	0.521463
228	AC002101.1	0.499497
229	AC002115.1	0.455986
230	AC002115.2	0.52073
231	AC002116.1	0.648673
232	AC002116.2	0.573872
233	AC002127.1	0.466667
234	AC002127.2	0.440657
235	AC002128.1	0.495079
236	AC002128.2	0.508091
237	AC002306.1	0.501601
238	AC002310.1	0.5125415
239	AC002310.2	0.5961805
240	AC002310.3	0.46473
241	AC002310.4	0.718833
242	AC002310.5	0.657426
243	AC002310.6	0.614379
244	AC002347.1	0.569316
245	AC002347.2	0.549708
246	AC002350.1	0.453333
247	AC002350.2	0.538293
248	AC002351.1	0.5671595
249	AC002366.1	0.47479
250	AC002367.1	0.501235
251	AC002368.1	0.587629
252	AC002375.1	0.46988
253	AC002378.1	0.5
254	AC002381.1	0.439286
255	AC002383.1	0.405365
256	AC002384.1	0.471271667
257	AC002384.2	0.516456
258	AC002386.1	0.386935
259	AC002398.1	0.405152
260	AC002398.2	0.569697
261	AC002400.1	0.414601
262	AC002401.1	0.568376
263	AC002401.2	0.518605
264	AC002401.3	0.445455
265	AC002401.4	0.451115
266	AC002407.1	0.508931
267	AC002428.1	0.491569
268	AC002428.2	0.449275
269	AC002429.1	0.405405
270	AC002429.2	0.423515667
271	AC002451.1	0.492735667
272	AC002451.2	0.411593
273	AC002454.1	0.477228
274	AC002456.1	0.382304
275	AC002456.2	0.415789
276	AC002460.1	0.364008
277	AC002463.1	0.43771
278	AC002464.1	0.439869
279	AC002465.1	0.484241
280	AC002467.1	0.548647333
281	AC002470.1	0.529114
282	AC002472.1	0.552398
283	AC002472.2	0.579332
284	AC002472.3	0.610306
285	AC002472.4	0.650735
286	AC002480.1	0.50234
287	AC002480.2	0.474507
288	AC002480.3	0.459605
289	AC002480.4	0.430941
290	AC002486.1	0.434783
291	AC002486.2	0.405085
292	AC002487.1	0.400402
293	AC002504.1	0.474674
294	AC002511.1	0.567
295	AC002511.2	0.544444
296	AC002511.3	0.57381
297	AC002519.1	0.382521
298	AC002519.2	0.457085
299	AC002524.1	0.433272
300	AC002525.1	0.372996
301	AC002540.1	0.446256
302	AC002542.1	0.373057
303	AC002543.1	0.38741
304	AC002545.1	0.40884
305	AC002546.1	0.36861
306	AC002546.2	0.481164
307	AC002550.1	0.448151
308	AC002550.2	0.347716
309	AC002551.1	0.540541
310	AC002553.1	0.401496
311	AC002553.2	0.411765
312	AC002553.3	0.510264
313	AC002553.4	0.323263
314	AC002558.1	0.582814
315	AC002558.2	0.402675
316	AC002558.3	0.381546
317	AC002563.1	0.505543
318	AC002984.1	0.475446
319	AC002985.1	0.6391835
320	AC002985.2	0.570533
321	AC002996.1	0.575255
322	AC003001.1	0.342731
323	AC003001.2	0.394705
324	AC003002.1	0.47543
325	AC003002.2	0.559211
326	AC003002.3	0.504798
327	AC003002.4	0.55341
